Navn på KI-løsning;region;leverandør;prosjektfase;type bruk;overordnet funksjon;MU (CE-merket);KI-komponent;type KI;helseforetak;klinikk/avdeling;formål med tiltak;forventet gevinst;oppnådd gevinst;utfordringer/hemmere;kontaktperson;funksjon_forenklet;funksjon_detalj;hovedkategori;gevinst_tema;gevinst_status;barriere_tema
AI-Rad Companion Prostate MR;HSØ;Siemens;i drift/produksjon;klinisk;Detektere og segmentere prostata og suspekt vev;ja;knyttet til MU;ML;VVHF;Avdeling for bildediagnostikk;"- Redusere tidsbruk
- Støtteverktøy";"- Redusere tidsbruk
- Støtteverktøy";"- Redusere tidsbruk
- Støtteverktøy";Vet ikke;Anniken Haslund <Anniken.Haslund@vestreviken.no>;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;Tidsbesparelse / effektivitet;Realisert;
ART-plan;HV;Therapancea;i drift/produksjon;klinisk;KI-konturering i stråleterapi;ja;knyttet til MU;ML;HBE;Kreftklinikk;Hvert år får rundt 2200 pasienter i Bergen stråleterapi som en del av kreftbehandlingen. For å minimere bivirkningene av strålingen er det avgjørende at dedikert programvare har informasjon om hver pasients anatomiske forhold. Derfor må ikke bare svulsten, men også friskt vev, defineres på CT-bilder – en prosess som er både tid- og ressurskrevende. ART-plan fra Therapancea utfører denne oppgaven på få minutter.;tid- og ressurssparende;tid- og ressurssparende;;Hirschi, Lukas Andreas (lukas.hirschi@helse-bergen.no);stråleterapi og behandlingsplanlegging;;Pasientbehandling;Tidsbesparelse / effektivitet;Realisert;
AVIEW LCS;HSØ;Coreline;i anskaffelse/implementering;klinisk;Beslutningsstøtte bildediagnostikk CT thorax;ja;;ML;Ahus;;Raskere og mer effektiv arbeidsflyt. Rask diagnostikk gir raskere pasient behandling. Raskere læringskurve for nyutdannede radiologer. Utfordrende elementer å måle konkret i kr/øre;Raskere og mer effektiv arbeidsflyt. Rask diagnostikk gir raskere pasient behandling. Raskere læringskurve for nyutdannede radiologer. Utfordrende elementer å måle konkret i kr/øre;;For å utnytte DICOM standardens muligheter med dyp integrering slik at radiologer kan akseptere/forkaste KI funn fra applikasjonen direkte i PACS må også PACS leverandør tilrettelegge for å håndtere disse standardene – dette oppleves som en tung dialog med regional PACS leverandør;Vidar Diebels-Larsen <Vidar.Diebels-Larsen@ahus.no>;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kognitiv avlastning ; Pasientfordel ; Tidsbesparelse / effektivitet";;"Endring og samarbeid ; Integrasjon og infrastruktur"
AuroNote;HSØ;Auro Brands;i pilot/utprøving;administrasjon - helsepersonell;KI møtereferater;nei;frittstående;LLM;SØHF;Administrasjon;Effektivisere skriving av møtenotater;Økt effektivitet og kvalitet;ja;Ingen;Bendik Zenker Aune;administrativ støtte;;Drift;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Realisert;
Automatisk deteksjon av scankvalitet;HM;"Egenutviklet (St Olavs); Philips (integrasjon IMS)";i pilot/utprøving;drift av helse- og omsorgstjenester;Automatisk varsling ved lav scankvalitet på histopatologi-snitt;;frittstående løsning med tilgang til data fra skannere;ML;St Olavs;Avdeling for patologi;"Tidsbesparelse av manuelt kvalitetssikringsarbeid på lab; tidsbesparelse for leger som må sende snitt for re-scanning";;;;"Henrik Sahlin Pettersen; Inger Sofie Vorren";støtte til kvalitet;;Drift;;;
Automatisk gjenkjenning av feilkoding i medisinske koder med KI;HV;Helse Bergen;i pilot/utprøving;administrasjon - pasientbehandling;Automatisk gjenkjenning av feilkoding i medisinske koder med KI;nei;frittstående;ML;HBE;Helsetjenesteutvikling;"Dette prosjektet har som mål å forbedre kvaliteten på medisinsk koding ved å utvikle et KI-verktøy som kan analysere epikriser og polikliniske notater fra DIPS Arena. Ved å hente ut 10.000 slike dokumenter og koble dem mot registrerte diagnosekoder, vil algoritmen kunne identifisere avvik mellom tekst og koder samt foreslå riktige medisinske koder. Kvalifisert helsepersonell vil deretter vurdere eventuelle endringer manuelt.

Algoritmen bygger på dyplæring og skal trenes til å predikere ICD-10 diagnosekoder basert på epikrisetekster. Dataene vil så langt det er mulig deidentifiseres, men NPR-ID og oppholdsdata vil være tilgjengelige for kobling mellom epikriser og DIPS-data. All dataanalyse vil foregå på et sikkert lagringsområde satt opp av Helse Vest IKT (HVIKT).

KI-verktøyet vil ikke automatisk endre journaler, men gi personell en liste over opphold der kodingen kan være feil, slik at de manuelt kan korrigere dokumentasjonen. Dette vil bidra til mer presis registrering, bedre grunnlag for forskning, og riktig økonomisk kompensasjon for sykehusets aktivitet.";"Forbedret kvalitet; ressurssparende";;;Erlend Hodneland (erlend.hodneland@helse-bergen.no);administrativ støtte;;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";;
BioView Duet-3;HM;BioView;i drift/produksjon;klinisk;Automatisk bildeanalyse, cytogenetikk/patologi;ja;knyttet til MU;ML;St Olavs;Avdeling for Patologi;Gjenkjenning og klassifisering av celler på prøver fremstilt med fluorescens in-situ hybridisering, Programvaren effektiviserer prosessen noe med at den presorterer celler. Programvaren vil kunne gi en statistikk av prosentandel av de ferdigsorterte cellene. Den vil også kunne vise en og en celle som gjør vurderingen enklere enn å mikroskopere manuelt. En annen fordel er at vi har et digitalt bilde til arkivering.;;;;mari.jebens@stolav.no;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Biobeat;HM;Biobeat;i drift/produksjon;klinisk;Automatisk avlesning av vitalia (fotopletysmografi og KI);ja;;;HMR;;;Effektivisering / spare tid;;;kjetil.roth@helse-mr.no og kamilla.marlen.alnes@helse-mr.no;pasientmonitorering;;Pasientbehandling;Tidsbesparelse / effektivitet;;
BoneView;HM;Gleamer;i drift/produksjon;klinisk;Beslutningsstøtte diagnostikk MSK bruddeteksjon;ja;;ML;"HNT; HMR; St Olavs";;Bidrar til kortere ventetid både for pasienter og for helsepersonell.;;Redusert ventetid, noe spart tid/ressurs;Endringsledelse og organisasjonsutvikling;"rune.wagnild@helse-nordtrondelag.no; Marit Morken";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;Delvis realisert;Endring og samarbeid
BoneView;HN;Gleamer;i pilot/utprøving;klinisk;Beslutningsstøtte diagnostikk MSK bruddeteksjon;ja;;ML;Alle;Bildediagnostikk;;Redusert ventetid for pasient, redusert tidsbruk for radiolog/ortoped,;;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Pasientfordel ; Tidsbesparelse / effektivitet";;
