informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,dokumenttype,referanse_lenketekst,referanse_url
"Krav og prinsipper ","EU-guidelines on patient summary",,"Generelle retningslinjer fra EU om patient summary. Disse vil etter hvert komme som krav gjennom EHDS-forordningen. Disse retningslinjene legger grunnlaget for obligatoriske utvekslingsformater som er under utarbeidelse i EU. EU-guidelines tas hensyn til i arbeidet med nasjonale informasjonsmodeller for kritisk informasjon.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","EU-kommisjonen",,"EU-guidelines on patient summary (PDF) (health.ec.europa.eu)","https://health.ec.europa.eu/document/download/e020f311-c35b-45ae-ba3d-03212b57fa65_en?filename=ehn_guidelines_patientsummary_en.pdf"
"Krav og prinsipper ","ePrescription and eDispensation of Authorised Medicinal Products",,"Spesifikasjon av utvekslingsformat og informasjonselementene
fra EU om digital forskrivning og utlevering legemidler. Dette vil etter hvert komme som krav gjennom EHDS-forordningen. Dette tas hensyn til i arbeidet med nasjonale informasjonsmodeller for pasientens legemiddelliste.",,,"Organisatorisk, Semantisk, Teknisk","Eksisterer","Pasientens legemiddelliste","EU-kommisjonen",,"ePrescription and eDispensation of Authorised Medicinal Products (PDF) (ec.europa.eu)","https://health.ec.europa.eu/document/download/b744f30b-a05e-4b9c-9630-ad96ebd0b2f0_en?filename=ehn_guidelines_eprescriptions_en.pdf"
"Krav og prinsipper ","EU-guidelines on laboratory results",,"Generelle retningslinjer fra EU om laboratoriesvar. Disse vil etter hvert komme som krav gjennom EHDS-forordningen. Disse retningslinjene legger grunnlaget for obligatoriske utvekslingsformater som er under utarbeidelse i EU.",,,"Semantisk","Eksisterer","Pasientens prøvesvar","EU-kommisjonen",,"EU-guidelines on laboratory results (health.ec.europa.eu)","https://health.ec.europa.eu/publications/ehn-laboratory-result-guidelines_en"
"Krav og prinsipper ","Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015)",,"Rundskrivet inneholder en mer detaljert beskrivelse av hvordan forskriften skal forstås, samt en veiledning som gir råd og praktiske eksempler for å kunne opprettholde gode rutiner og sikre kvalitet i legemiddelhåndteringen.",,,"Organisatorisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Rundskriv til legemiddelhåndteringsforskriften (IS-7/2015) (PDF) (hdir.no)","https://www.helsedirektoratet.no/rundskriv/legemiddelhandteringsforskriften-med-kommentarer/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf/_/attachment/inline/506142af-6a2f-407f-8f3d-b87d3adc3cd5:81191d21a0a9e3131cb80deff61f723499f3f65c/Legemiddelh%C3%A5ndteringsforskriften%20med%20kommentarer%20(rev)%20%E2%80%93%20Rundskriv.pdf"
"Krav og prinsipper ","Implementeringsveiledning FEST",,"Implementeringsveiledningen er Direktoratet for medisinske produkter sin dokumentasjon av meldingen for forskrivnings- og ekspedisjonsstøtte (FEST).",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Direktoratet for medisinske produkter",,"Implementeringsveiledning FEST (dmp.no)","https://www.dmp.no/om-oss/distribusjon-av-legemiddeldata/fest/hvordan-bruke-fest#Implementeringsveiledning-FEST-1"
"Krav og prinsipper ","Krav til utleverere av medikamenter",,"Kravdokumentene beskriver funksjonalitet knyttet til e-reseptmeldinger som benyttes i kommunikasjon mellom utleverersystemer og Reseptformidleren, samt meldinger som benyttes i oppgjørsløsningen mot Helfo.",,,"Teknisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Krav til utleverere av medikamenter (nhn.no)","https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/953685209/Krav+til+utleverere"
"Krav og prinsipper ","Rekvirentspesifikasjon for e-resept",,"Funksjonelle spesifikasjoner for legemiddelmoduler som skal samhandle med e-resept. Spesielt relevant for de som skal utvikle egen funksjonalitet for PLL.",,,"Organisatorisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"Rekvirentspesifikasjon for e-resept (nhn.no)","https://e-resept.atlassian.net/wiki/spaces/ERDOK/pages/2313421608/Rekvirentspesifikasjon+for+e-resept"
"Arbeidsprosess ","Gjøre oppslag i tidligere journalopplysninger",,"Informasjonstjenesten gir helsepersonell muligheten til å grave seg dypere ned i innbyggerens sykdoms- og undersøkelseshistorikk fra tidligere besøk i helsetjenesten. Eks. hvis fastende langtidsblodsukker blir målt kan helsepersonell gå inn å journalen og få resultater fra tidligere tester som dagens resultater kan sammenlignes med. ",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,,
"Arbeidsprosess ","Skaffe seg oversikt over innbyggers tilstand og behov for helsehjelp",,"Informasjonstjenestene i denne kategorien benytter helsearbeiderne til å få oversikt over hvem innbyggeren er og kritisk informasjon om innbyggerens helse. Eks. på
dette er å få oversikt over evt. legemiddelallergier. ",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,,
"Kodeverk og terminologi ","Underkategorier av kritisk informasjon ",,"Viser en oversikt over de ulike underkategoriene av kritisk informasjon.
",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Underkategorier av kritisk informasjon (OID=7651) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7651"
"Kodeverk og terminologi ","Koder for tilgangsbegrensninger i behandlingsrettede helseregistre",,"Kodeverket benyttes for å angi tilgangsbegrensninger i behandlingsrettede helseregistre, herunder EPJ-systemer og nasjonale e-helseløsninger.",,,"Semantisk","Eksisterer","Pasientens journaldokumenter, Pasientens prøvesvar","Helsedirektoratet",,"Koder for tilgangsbegrensninger i behandlingsrettede helseregistre (OID=9603) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/9603"
"Kodeverk og terminologi ","Smittetype som kritisk informasjon ",,"Angir hvilken type smitte som kan registreres som kritisk informasjon i kjernejournal. Registrering og utveksling av kritisk informasjon i kjernejournal.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Smittetype som kritisk informasjon (OID=7519) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7519"
"Kodeverk og terminologi ","Metode for utlevering av vare (7404)",,"Beskriver metode for ekspedering av varer fra utleverer (apotek eller bandagist).",,,"Semantisk","Eksisterer","Pasientens legemiddelliste","Helsedirektoratet",,"Metode for utlevering av vare (7404) (finnkode.no)","https://finnkode.helsedirektoratet.no/adm/collections/7404"
